Scores & Fixtures 2021-2022 Süper Lig,,,,,,
,,,,,,
Wk,Day,Date,Home,Score,Away,Referee
18,Tue,2021-12-21,Adana Demirspor,2–0,Galatasaray,Arda Kardeşler
18,Tue,2021-12-21,Altay,1–2,Trabzonspor,Ali Şansalan
18,Wed,2021-12-22,Hatayspor,1–3,Konyaspor,Halil Umut Meler
18,Wed,2021-12-22,Sivasspor,1–1,Rizespor,Atilla Karaoğlan
18,Wed,2021-12-22,Fatih Karagümrük,1–1,Fenerbahçe,Erkan Özdamar
18,Wed,2021-12-22,Gaziantep FK,2–1,Alanyaspor,Tugay Kaan Numanoğlu
18,Thu,2021-12-23,Yeni Mal'spor,2–2,Kayserispor,Hüseyin Göçek
18,Thu,2021-12-23,Beşiktaş,2–1,Göztepe,Umit Öztürk
,,,,,,
19,Sat,2021-12-25,Kasımpaşa,2–0,Altay,Tugay Kaan Numanoğlu
19,Sat,2021-12-25,Galatasaray,2–0,Antalyaspor,Ali Şansalan
19,Sat,2021-12-25,Giresunspor,0–1,Hatayspor,Volkan Bayarslan
19,Sat,2021-12-25,Trabzonspor,0–0,Başakşehir,Halil Umut Meler
19,Sun,2021-12-26,Rizespor,0–1,Gaziantep FK,Cüneyt Çakιr
19,Sun,2021-12-26,Göztepe,1–1,Adana Demirspor,Atilla Karaoğlan
19,Sun,2021-12-26,Alanyaspor,1–1,Fatih Karagümrük,Alper Ulusoy
19,Sun,2021-12-26,Fenerbahçe,2–0,Yeni Mal'spor,Yaşar Kemal Uğurlu
19,Mon,2021-12-27,Kayserispor,3–0,Sivasspor,Umit Öztürk
19,Mon,2021-12-27,Konyaspor,1–0,Beşiktaş,Mete Kalkavan
,,,,,,
20,Fri,2022-01-07,Trabzonspor,1–0,Yeni Mal'spor,Fırat Aydınus
Wk,Day,Date,Home,Score,Away,Referee
20,Sat,2022-01-08,Gaziantep FK,3–1,Fatih Karagümrük,Zorbay Küçük
20,Sat,2022-01-08,Kasımpaşa,3–1,Hatayspor,Sarper Barış Saka
20,Sat,2022-01-08,Alanyaspor,1–1,Başakşehir,Mustafa Kürşad Filiz
20,Sat,2022-01-08,Galatasaray,0–1,Giresunspor,Arda Kardeşler
20,Sun,2022-01-09,Konyaspor,0–1,Sivasspor,Cüneyt Çakιr
20,Sun,2022-01-09,Göztepe,4–0,Antalyaspor,Hüseyin Göçek
20,Sun,2022-01-09,Kayserispor,1–0,Altay,Yaşar Kemal Uğurlu
20,Sun,2022-01-09,Rizespor,2–2,Beşiktaş,Alper Ulusoy
20,Mon,2022-01-10,Fenerbahçe,1–2,Adana Demirspor,Halil Umut Meler
,,,,,,
21,Fri,2022-01-14,Beşiktaş,1–0,Gaziantep FK,Arda Kardeşler
21,Fri,2022-01-14,Yeni Mal'spor,1–2,Göztepe,Cüneyt Çakιr
21,Sat,2022-01-15,Adana Demirspor,1–1,Kayserispor,Sarper Barış Saka
21,Sat,2022-01-15,Sivasspor,1–1,Trabzonspor,Mete Kalkavan
21,Sat,2022-01-15,Fatih Karagümrük,2–0,Rizespor,Umit Öztürk
21,Sat,2022-01-15,Antalyaspor,1–1,Fenerbahçe,Atilla Karaoğlan
21,Sun,2022-01-16,Altay,0–2,Alanyaspor,Volkan Bayarslan
21,Sun,2022-01-16,Giresunspor,0–2,Kasımpaşa,Yaşar Kemal Uğurlu
21,Sun,2022-01-16,Hatayspor,4–2,Galatasaray,Erkan Özdamar
,,,,,,
22,Tue,2022-01-18,Fatih Karagümrük,0–1,Beşiktaş,Halil Umut Meler
22,Tue,2022-01-18,Konyaspor,1–0,Adana Demirspor,Yasin Kol
22,Wed,2022-01-19,Göztepe,2–1,Sivasspor,Suat Arslanboga
22,Wed,2022-01-19,Kayserispor,1–0,Başakşehir,Volkan Bayarslan
22,Wed,2022-01-19,Fenerbahçe,2–1,Altay,Hüseyin Göçek
22,Wed,2022-01-19,Trabzonspor,1–1,Giresunspor,Alper Ulusoy
22,Thu,2022-01-20,Alanyaspor,6–0,Hatayspor,Bahattin Şimşek
22,Thu,2022-01-20,Rizespor,2–1,Antalyaspor,Yaşar Kemal Uğurlu
22,Thu,2022-01-20,Galatasaray,1–3,Kasımpaşa,Tugay Kaan Numanoğlu
,,,,,,
23,Sat,2022-01-22,Yeni Mal'spor,1–1,Beşiktaş,Zorbay Küçük
23,Sat,2022-01-22,Sivasspor,1–1,Fenerbahçe,Alper Ulusoy
23,Sat,2022-01-22,Adana Demirspor,5–0,Fatih Karagümrük,Suat Arslanboga
23,Sat,2022-01-22,Başakşehir,1–2,Göztepe,Arda Kardeşler
23,Sun,2022-01-23,Kasımpaşa,3–1,Kayserispor,Halil Umut Meler
Wk,Day,Date,Home,Score,Away,Referee
23,Sun,2022-01-23,Hatayspor,0–0,Rizespor,Sarper Barış Saka
23,Sun,2022-01-23,Antalyaspor,0–0,Gaziantep FK,Yasin Kol
23,Sun,2022-01-23,Altay,0–1,Konyaspor,Abdulkadir Bitigen
23,Sun,2022-01-23,Giresunspor,1–3,Alanyaspor,Mert Güzenge
23,Sun,2022-01-23,Galatasaray,1–2,Trabzonspor,Atilla Karaoğlan
,,,,,,
