Wk,Date,Time,Home,Score,Away,Referee
17,2023-12-21,20:00,Ankaragücü,0–0,Hatayspor,Abdulkadir Bitigen
17,2023-12-21,20:00,Beşiktaş,1–3,Alanyaspor,Umit Öztürk
,,,,,,
18,2023-12-23,13:30,Sivasspor,1–0,İstanbulspor,Mert Güzenge
18,2023-12-23,16:00,Fatih Karagümrük,0–3,Gaziantep FK,Ali Şansalan
18,2023-12-23,19:00,Trabzonspor,1–1,Başakşehir,Volkan Bayarslan
18,2023-12-24,13:30,Konyaspor,2–0,Kayserispor,Bahattin Şimşek
18,2023-12-24,16:00,Adana Demirspor,2–1,Antalyaspor,Burak Pakkan
18,2023-12-24,19:00,Fenerbahçe,0–0,Galatasaray,Arda Kardeşler
18,2023-12-25,17:00,Alanyaspor,3–1,Samsunspor,Tugay Kaan Numanoğlu
18,2023-12-25,17:00,Kasımpaşa,2–2,Rizespor,Turgut Doman
18,2023-12-25,20:00,Pendikspor,1–1,Ankaragücü,Umit Öztürk
18,2023-12-25,20:00,Hatayspor,1–2,Beşiktaş,Kadir Sağlam
,,,,,,
19,2024-01-05,17:00,Gaziantep FK,2–2,Pendikspor,Çağdaş Altay
19,2024-01-05,20:00,Beşiktaş,1–3,Kasımpaşa,Arda Kardeşler
19,2024-01-05,20:00,Antalyaspor,0–0,Alanyaspor,Mert Güzenge
19,2024-01-06,13:30,Rizespor,2–0,Hatayspor,Cihan Aydın
19,2024-01-06,16:00,Başakşehir,0–0,Adana Demirspor,Turgut Doman
19,2024-01-06,19:00,Ankaragücü,0–1,Trabzonspor,Burak Şeker
19,2024-01-06,19:00,Samsunspor,1–0,Fatih Karagümrük,Emre Kargın
19,2024-01-07,13:30,Kayserispor,1–3,Sivasspor,Alper Akarsu
19,2024-01-07,16:00,İstanbulspor,1–5,Fenerbahçe,Volkan Bayarslan
19,2024-01-07,19:00,Galatasaray,3–0,Konyaspor,Ali Şansalan
,,,,,,
16,2024-01-09,17:00,Pendikspor,0–1,Antalyaspor,Oğuzhan Çakir
16,2024-01-09,17:00,Alanyaspor,1–1,Ankaragücü,Direnç Tonusluoğlu
16,2024-01-09,20:00,Kasımpaşa,0–3,Başakşehir,Burak Pakkan
16,2024-01-09,20:00,Rizespor,0–4,Beşiktaş,Abdulkadir Bitigen
16,2024-01-10,17:00,Fatih Karagümrük,4–1,Kayserispor,Burak Şeker
16,2024-01-10,17:00,Hatayspor,0–0,Gaziantep FK,Umit Öztürk
16,2024-01-10,20:00,Adana Demirspor,2–2,İstanbulspor,Murat Erdoğan
16,2024-01-10,20:00,Fenerbahçe,7–1,Konyaspor,Kadir Sağlam
16,2024-01-11,17:00,Sivasspor,1–1,Galatasaray,Zorbay Küçük
16,2024-01-11,20:00,Trabzonspor,2–1,Samsunspor,Cihan Aydın
Wk,Date,Time,Home,Score,Away,Referee
,,,,,,
20,2024-01-13,13:30,Hatayspor,1–1,Pendikspor,Muhammetali Metoğlu
20,2024-01-13,13:30,Ankaragücü,3–1,Kasımpaşa,Ömer Faruk Turtay
20,2024-01-13,16:00,Başakşehir,3–2,Alanyaspor,Arda Kardeşler
20,2024-01-13,19:00,Beşiktaş,3–0,Fatih Karagümrük,Mert Güzenge
20,2024-01-13,19:00,Rizespor,1–0,Adana Demirspor,Volkan Bayarslan
20,2024-01-14,13:30,İstanbulspor,0–0,Konyaspor,Halil Umut Meler
20,2024-01-14,16:00,Samsunspor,2–0,Sivasspor,Burak Şeker
20,2024-01-14,16:00,Antalyaspor,1–1,Trabzonspor,Bahattin Şimşek
20,2024-01-14,19:00,Gaziantep FK,0–1,Fenerbahçe,Tugay Kaan Numanoğlu
20,2024-01-15,20:00,Galatasaray,2–1,Kayserispor,Atilla Karaoğlan
,,,,,,
21,2024-01-20,13:30,Kasımpaşa,3–0,Hatayspor,Abdullah Taşkınsoy
21,2024-01-20,16:00,Alanyaspor,2–1,Rizespor,Ali Şansalan
21,2024-01-20,16:00,Fatih Karagümrük,1–1,Başakşehir,Umit Öztürk
21,2024-01-20,19:00,Adana Demirspor,1–1,Ankaragücü,Arda Kardeşler
21,2024-01-20,19:00,Pendikspor,4–0,Beşiktaş,Tugay Kaan Numanoğlu
21,2024-01-21,13:30,Sivasspor,2–2,Gaziantep FK,Kadir Sağlam
21,2024-01-21,16:00,Fenerbahçe,1–1,Samsunspor,Bahattin Şimşek
21,2024-01-21,16:00,Konyaspor,1–1,Antalyaspor,Zorbay Küçük
21,2024-01-21,19:00,Trabzonspor,1–5,Galatasaray,Abdulkadir Bitigen
21,2024-01-22,20:00,Kayserispor,0–1,İstanbulspor,Cihan Aydın
,,,,,,
22,2024-01-23,17:00,Hatayspor,1–1,Alanyaspor,Emre Kargın
22,2024-01-23,20:00,Beşiktaş,0–0,Adana Demirspor,Atilla Karaoğlan
22,2024-01-23,20:00,Pendikspor,3–2,Kasımpaşa,Burak Şeker
22,2024-01-24,17:00,Gaziantep FK,1–1,Konyaspor,Volkan Bayarslan
22,2024-01-24,17:00,Ankaragücü,2–0,Fatih Karagümrük,Muhammetali Metoğlu
22,2024-01-24,20:00,Başakşehir,0–1,Fenerbahçe,Abdulkadir Bitigen
22,2024-01-24,20:00,Antalyaspor,2–1,Sivasspor,Turgut Doman
22,2024-01-25,17:00,Samsunspor,2–0,Kayserispor,Çağdaş Altay
22,2024-01-25,20:00,Rizespor,1–0,Trabzonspor,Umit Öztürk
22,2024-01-25,20:00,Galatasaray,3–1,İstanbulspor,Bahattin Şimşek
,,,,,,
23,2024-01-27,16:00,Alanyaspor,1–1,Pendikspor,Volkan Bayarslan
Wk,Date,Time,Home,Score,Away,Referee
23,2024-01-27,19:00,Adana Demirspor,0–1,Hatayspor,Mert Güzenge
23,2024-01-28,13:30,Konyaspor,2–3,Başakşehir,Alper Akarsu
23,2024-01-28,16:00,Fatih Karagümrük,4–0,Rizespor,Turgut Doman
23,2024-01-28,16:00,Sivasspor,1–0,Beşiktaş,Ali Şansalan
23,2024-01-28,19:00,Fenerbahçe,2–1,Ankaragücü,Cihan Aydın
23,2024-01-29,17:00,İstanbulspor,1–1,Samsunspor,Ömer Faruk Turtay
23,2024-01-29,17:00,Kayserispor,1–1,Antalyaspor,Direnç Tonusluoğlu
23,2024-01-29,20:00,Galatasaray,2–1,Gaziantep FK,Arda Kardeşler
23,2024-01-29,20:00,Trabzonspor,2–3,Kasımpaşa,Tugay Kaan Numanoğlu
,,,,,,
24,2024-02-02,17:00,Hatayspor,3–1,Fatih Karagümrük,Ömer Faruk Turtay
24,2024-02-02,17:00,Ankaragücü,0–0,Sivasspor,Abdulkadir Bitigen
24,2024-02-02,20:00,Samsunspor,0–2,Galatasaray,Tugay Kaan Numanoğlu
24,2024-02-03,13:30,Rizespor,0–0,Konyaspor,Cihan Aydın
24,2024-02-03,16:00,Başakşehir,2–0,İstanbulspor,Emre Kargın
24,2024-02-03,19:00,Gaziantep FK,1–1,Kayserispor,Murat Erdoğan
24,2024-02-03,19:00,Antalyaspor,0–2,Fenerbahçe,Volkan Bayarslan
24,2024-02-04,13:30,Pendikspor,2–1,Adana Demirspor,Direnç Tonusluoğlu
24,2024-02-04,16:00,Kasımpaşa,2–1,Alanyaspor,Oğuzhan Çakir
24,2024-02-04,19:00,Beşiktaş,2–0,Trabzonspor,Arda Kardeşler
,,,,,,
25,2024-02-09,20:00,Adana Demirspor,1–3,Kasımpaşa,Burak Pakkan
25,2024-02-10,16:00,Fatih Karagümrük,2–0,Pendikspor,Zorbay Küçük
25,2024-02-10,19:00,Galatasaray,2–0,Başakşehir,Cihan Aydın
25,2024-02-11,13:30,Sivasspor,1–0,Rizespor,Emre Kargın
25,2024-02-11,16:00,Konyaspor,1–0,Ankaragücü,Direnç Tonusluoğlu
25,2024-02-11,16:00,İstanbulspor,1–3,Gaziantep FK,Abdulkadir Bitigen
25,2024-02-11,19:00,Fenerbahçe,2–2,Alanyaspor,Çağdaş Altay
25,2024-02-12,17:00,Trabzonspor,2–0,Hatayspor,Ali Şansalan
25,2024-02-12,20:00,Samsunspor,2–0,Antalyaspor,Atilla Karaoğlan
25,2024-02-12,20:00,Kayserispor,0–0,Beşiktaş,Kadir Sağlam
,,,,,,
26,2024-02-16,20:00,Kasımpaşa,1–1,Fatih Karagümrük,Kadir Sağlam
26,2024-02-17,13:30,Antalyaspor,2–2,İstanbulspor,Mehmet Türkmen
26,2024-02-17,16:00,Hatayspor,1–1,Sivasspor,Umit Öztürk
Wk,Date,Time,Home,Score,Away,Referee
26,2024-02-17,19:00,Rizespor,1–3,Fenerbahçe,Arda Kardeşler
26,2024-02-18,13:30,Alanyaspor,3–3,Adana Demirspor,Bahattin Şimşek
26,2024-02-18,16:00,Pendikspor,0–2,Trabzonspor,Halil Umut Meler
26,2024-02-18,16:00,Gaziantep FK,1–1,Samsunspor,Zorbay Küçük
26,2024-02-18,19:00,Ankaragücü,0–3,Galatasaray,Ali Şansalan
26,2024-02-19,20:00,Başakşehir,2–3,Kayserispor,Oğuzhan Çakir
26,2024-02-19,20:00,Beşiktaş,2–0,Konyaspor,Tugay Kaan Numanoğlu
,,,,,,
27,2024-02-23,20:00,Samsunspor,3–0,Rizespor,Murat Erdoğan
27,2024-02-24,13:30,Kayserispor,3–2,Ankaragücü,Turgut Doman
27,2024-02-24,16:00,Gaziantep FK,0–2,Başakşehir,Ali Şansalan
27,2024-02-24,19:00,Konyaspor,2–0,Hatayspor,Zorbay Küçük
27,2024-02-24,19:00,Fenerbahçe,2–1,Kasımpaşa,Cihan Aydın
27,2024-02-25,13:30,Sivasspor,4–1,Pendikspor,Burak Pakkan
27,2024-02-25,16:00,Fatih Karagümrük,1–1,Alanyaspor,Tugay Kaan Numanoğlu
27,2024-02-25,16:00,Trabzonspor,1–0,Adana Demirspor,Burak Şeker
27,2024-02-25,19:00,İstanbulspor,0–2,Beşiktaş,Atilla Karaoğlan
27,2024-02-26,20:00,Galatasaray,2–1,Antalyaspor,Abdulkadir Bitigen
,,,,,,
28,2024-03-01,20:00,Kasımpaşa,0–0,Sivasspor,Burak Şeker
28,2024-03-02,13:30,Ankaragücü,1–1,İstanbulspor,Muhammetali Metoğlu
28,2024-03-02,16:00,Rizespor,3–0,Kayserispor,Burak Pakkan
28,2024-03-02,19:00,Hatayspor,0–2,Fenerbahçe,Atilla Karaoğlan
28,2024-03-03,13:30,Başakşehir,1–0,Samsunspor,Abdullah Taşkınsoy
28,2024-03-03,13:30,Pendikspor,0–2,Konyaspor,Umit Öztürk
28,2024-03-03,19:00,Beşiktaş,0–1,Galatasaray,Halil Umut Meler
28,2024-03-04,17:00,Adana Demirspor,1–0,Fatih Karagümrük,Murat Erdoğan
28,2024-03-04,20:00,Antalyaspor,1–0,Gaziantep FK,Direnç Tonusluoğlu
28,2024-03-04,20:00,Alanyaspor,3–1,Trabzonspor,Volkan Bayarslan
,,,,,,
29,2024-03-08,20:00,Galatasaray,6–2,Rizespor,Bahattin Şimşek
29,2024-03-09,13:30,Sivasspor,1–2,Alanyaspor,Ali Şansalan
29,2024-03-09,16:00,Konyaspor,2–2,Adana Demirspor,Volkan Bayarslan
29,2024-03-09,19:00,Trabzonspor,5–1,Fatih Karagümrük,Zorbay Küçük
29,2024-03-09,19:00,Başakşehir,1–0,Antalyaspor,Mert Güzenge
Wk,Date,Time,Home,Score,Away,Referee
29,2024-03-10,13:30,Kayserispor,1–1,Hatayspor,Halil Umut Meler
29,2024-03-10,16:00,İstanbulspor,1–2,Kasımpaşa,Çağdaş Altay
29,2024-03-10,16:00,Samsunspor,2–1,Ankaragücü,Umit Öztürk
29,2024-03-10,19:00,Fenerbahçe,4–1,Pendikspor,Kadir Sağlam
29,2024-03-11,20:30,Gaziantep FK,2–0,Beşiktaş,Arda Kardeşler
,,,,,,
30,2024-03-15,20:30,Fatih Karagümrük,1–1,Konyaspor,Bahattin Şimşek
30,2024-03-15,20:30,Pendikspor,1–0,İstanbulspor,Oğuzhan Çakir
30,2024-03-16,13:30,Alanyaspor,1–0,Kayserispor,Emre Kargın
30,2024-03-16,16:00,Ankaragücü,2–1,Başakşehir,Cihan Aydın
30,2024-03-16,20:30,Beşiktaş,1–2,Antalyaspor,Burak Pakkan
30,2024-03-16,20:30,Adana Demirspor,4–1,Sivasspor,Tugay Kaan Numanoğlu
30,2024-03-17,13:30,Rizespor,3–1,Gaziantep FK,Abdulkadir Bitigen
30,2024-03-17,16:00,Kasımpaşa,3–4,Galatasaray,Atilla Karaoğlan
30,2024-03-17,16:00,Hatayspor,3–0,Samsunspor,Burak Şeker
30,2024-03-17,20:30,Trabzonspor,2–3,Fenerbahçe,Halil Umut Meler
,,,,,,
31,2024-04-02,17:00,İstanbulspor,0–4,Rizespor,Alper Akarsu
31,2024-04-02,20:30,Gaziantep FK,0–3,Alanyaspor,Umit Öztürk
31,2024-04-02,20:30,Antalyaspor,1–1,Ankaragücü,Çağdaş Altay
31,2024-04-02,20:30,Galatasaray,1–0,Hatayspor,Ali Şansalan
31,2024-04-03,17:00,Sivasspor,1–0,Fatih Karagümrük,Turgut Doman
31,2024-04-03,20:30,Fenerbahçe,4–2,Adana Demirspor,Arda Kardeşler
31,2024-04-03,20:30,Kayserispor,0–2,Kasımpaşa,Ömer Faruk Turtay
31,2024-04-03,20:30,Konyaspor,1–3,Trabzonspor,Atilla Karaoğlan
31,2024-04-04,20:30,Başakşehir,1–1,Beşiktaş,Zorbay Küçük
31,2024-04-04,20:30,Samsunspor,0–0,Pendikspor,Bahattin Şimşek
,,,,,,
32,2024-04-12,20:00,Trabzonspor,0–1,Sivasspor,Umit Öztürk
